Protocol,Dst Port,Src Port,Flow Duration,Total Fwd Packets,Total Backward Packets,Total Length of Fwd Packets,Total Length of Bwd Packets,Fwd Packet Length Max,Bwd Packet Length Max,Flow IAT Mean,Active Mean,Idle Mean,Fwd PSH Flags,Bwd PSH Flags,Label
ICMP,44387,33654,2339434.4659049497,14,11,217.97833033495402,274.25070042232113,108.55523903743546,84.02002415798181,82895.87199669622,1220.3480014056465,2175.4671393759845,0,0,BENIGN
TCP,63973,40503,117652.20987648598,12,10,447.9168218669934,300.84987686962614,28.735561693617587,61.41630541448408,141081.68272974814,1349.1170700583396,6775.116914961567,0,1,Attack
ICMP,54483,36675,194946.6682997251,2,10,82.37700353626308,126.95341600711446,17.81587131881405,72.94379718622417,139066.195590461,2895.9986522829668,5973.354660584615,1,0,BENIGN
ICMP,24256,37261,559779.2439752318,8,11,77.53386302990683,137.10948621327245,40.06535150347051,71.72601633579411,214482.72205575564,1343.3853211157245,415.8185939226329,1,0,BENIGN
TCP,41004,42499,135490.72255466098,9,12,26.247345102582297,40.47116828958096,130.66892310412973,39.206560094456634,194320.8380703354,512.2383916831701,458.490697447399,0,1,BENIGN
TCP,19997,2074,835393.3366057265,13,12,63.44913286039326,102.09730615392851,136.61636215865386,203.15389149169886,144852.81286374346,2295.141031569796,3119.1715757164047,1,1,BENIGN
ICMP,35387,49465,508163.2819608776,8,9,152.0810446585544,119.53469823783871,163.47185565423794,81.0273820637319,71108.46576456014,790.7593016640884,3624.0195352853484,1,1,BENIGN
UDP,21063,6270,334907.5736952113,9,13,198.4710329695547,208.50683944846327,48.38268104798738,137.20104416394074,210897.14341940105,1224.354497369978,2868.489303053373,1,1,BENIGN
ICMP,35932,64920,186317.3047940857,14,9,362.636691998839,234.7725329960217,46.71375336670191,35.62521886646064,118250.48826930838,3083.262253611992,2511.0346449782746,1,0,Attack
ICMP,58633,63029,408476.9968169923,6,7,128.27960071887316,32.8191936981529,56.7082828926286,17.8392159982531,197068.596457711,2925.2989473544303,3739.9006664454537,1,0,Attack
ICMP,35711,54470,936389.7477115514,7,10,357.37484801958266,122.81462999291013,27.73640055551611,141.339469660821,74724.34219454929,1857.093780716108,1619.2949087107986,1,0,BENIGN
